position_id,fen,piece_placement,side_to_move,castling_rights,en_passant,halfmove_clock,fullmove_number,ply_number,total_pieces,white_pieces,black_pieces,phase
board_000001,r1bqkbnr/pp1pp2p/n3N1p1/2p2p2/8/1PN5/P1PPPPPP/R1BQKB1R b KQkq - 3 5,r1bqkbnr/pp1pp2p/n3N1p1/2p2p2/8/1PN5/P1PPPPPP/R1BQKB1R,black,KQkq,-,3,5,9,32,16,16,dense
board_000002,rnbqk1nr/2ppbp1p/pp2p3/6p1/2B1P3/PP4PP/2PP1P2/RNBQK1NR w KQkq - 2 7,rnbqk1nr/2ppbp1p/pp2p3/6p1/2B1P3/PP4PP/2PP1P2/RNBQK1NR,white,KQkq,-,2,7,12,32,16,16,dense
board_000003,rnbqkb1r/1ppppp2/3n4/1N4pp/p2P4/1PP5/P3PPPP/R1BQKBNR w Kkq - 0 8,rnbqkb1r/1ppppp2/3n4/1N4pp/p2P4/1PP5/P3PPPP/R1BQKBNR,white,Kkq,-,0,8,14,32,16,16,dense
board_000004,1rbqkb1r/pp1p2pp/2p1p3/2n2p2/2P3n1/P4P1N/RP1PP1PP/1NBQKB1R b k - 0 9,1rbqkb1r/pp1p2pp/2p1p3/2n2p2/2P3n1/P4P1N/RP1PP1PP/1NBQKB1R,black,k,-,0,9,17,32,16,16,dense
board_000005,rnbqkb1r/ppppn3/4pp1p/6p1/2P4P/PP3P2/1B1PP1P1/RN1QKBNR b KQkq - 0 6,rnbqkb1r/ppppn3/4pp1p/6p1/2P4P/PP3P2/1B1PP1P1/RN1QKBNR,black,KQkq,-,0,6,11,32,16,16,dense
board_000006,r1bq1b1r/pp2kppp/2pp3B/2P1p2n/1n2P3/3P4/PP2NPPP/R2QKBNR w KQ - 3 9,r1bq1b1r/pp2kppp/2pp3B/2P1p2n/1n2P3/3P4/PP2NPPP/R2QKBNR,white,KQ,-,3,9,16,32,16,16,dense
board_000007,r1bq1b2/2pkpppr/n4n2/ppPp3p/4P2P/1P4P1/P2P1P1R/RNBQKBN1 b Q - 0 9,r1bq1b2/2pkpppr/n4n2/ppPp3p/4P2P/1P4P1/P2P1P1R/RNBQKBN1,black,Q,-,0,9,17,32,16,16,dense
board_000008,rnb1kb1r/pp1p3p/6qn/1Pp2pp1/4pPP1/P1NP1N1P/RBP1P2R/3QKB2 b - - 2 12,rnb1kb1r/pp1p3p/6qn/1Pp2pp1/4pPP1/P1NP1N1P/RBP1P2R/3QKB2,black,-,-,2,12,23,32,16,16,dense
board_000009,r1bqkb1r/pp1p1ppp/n4n2/2p1p3/1PP1P3/B4N2/P2P1PPP/RN1QKB1R b KQkq - 2 5,r1bqkb1r/pp1p1ppp/n4n2/2p1p3/1PP1P3/B4N2/P2P1PPP/RN1QKB1R,black,KQkq,-,2,5,9,32,16,16,dense
board_000010,rn1qkbnr/p2ppppp/b1p5/1p6/P2P4/R1N5/1PP1PPPP/2BQKBNR w Kkq - 0 5,rn1qkbnr/p2ppppp/b1p5/1p6/P2P4/R1N5/1PP1PPPP/2BQKBNR,white,Kkq,-,0,5,8,32,16,16,dense
